No.,Time,Source,Destination,Protocol,Length,Info
49,3.071046,192.168.1.181,192.168.1.108,TCP,66,"34154 > 2869 [FIN, ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568646 TSecr=50651"
50,3.071089,192.168.1.108,192.168.1.181,TCP,66,2869 > 34154 [ACK] Seq=127 Ack=1693 Win=66560 Len=0 TSval=50652 TSecr=353568646
51,3.078421,192.168.1.181,192.168.1.108,TCP,74,34155 > 2869 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=353568647 TSecr=0 WS=2
52,3.078618,192.168.1.108,192.168.1.181,TCP,74,"2869 > 34155 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=50653 TSecr=353568647"
53,3.080531,192.168.1.181,192.168.1.108,TCP,66,34155 > 2869 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=353568647 TSecr=50653
54,3.09692,192.168.1.181,192.168.1.108,TCP,74,34156 > 2869 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=353568649 TSecr=0 WS=2
55,3.097032,192.168.1.108,192.168.1.181,TCP,74,"2869 > 34156 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=50655 TSecr=353568649"
56,3.09878,192.168.1.181,192.168.1.108,TCP,66,34156 > 2869 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=353568649 TSecr=50655
57,3.102809,192.168.1.181,192.168.1.108,TCP,1514,[TCP segment of a reassembled PDU]
58,3.105376,192.168.1.181,192.168.1.108,TCP,1514,[TCP segment of a reassembled PDU]
59,3.106387,192.168.1.181,192.168.1.108,HTTP/XML,309,NOTIFY /upnp/eventing/sjvizmxepc HTTP/1.1 
60,3.106441,192.168.1.108,192.168.1.181,TCP,66,2869 > 34155 [ACK] Seq=1 Ack=1692 Win=66560 Len=0 TSval=50656 TSecr=353568650
61,3.106588,192.168.1.108,192.168.1.181,HTTP,191,HTTP/1.1 200 OK 
62,3.108994,192.168.1.181,192.168.1.108,TCP,66,34155 > 2869 [ACK] Seq=1692 Ack=126 Win=14600 Len=0 TSval=353568650 TSecr=50656
63,3.109043,192.168.1.108,192.168.1.181,TCP,66,"2869 > 34155 [FIN, ACK] Seq=126 Ack=1692 Win=66560 Len=0 TSval=50656 TSecr=353568650"
64,3.124096,192.168.1.181,192.168.1.108,HTTP/XML,309,NOTIFY /upnp/eventing/lhnzgxtbdf HTTP/1.1 
65,3.124166,192.168.1.108,192.168.1.181,TCP,66,2869 > 34156 [ACK] Seq=1 Ack=1692 Win=66560 Len=0 TSval=50657 TSecr=353568649
66,3.124357,192.168.1.108,192.168.1.181,HTTP,191,HTTP/1.1 200 OK 
67,3.126693,192.168.1.181,192.168.1.108,TCP,66,34156 > 2869 [ACK] Seq=1692 Ack=126 Win=14600 Len=0 TSval=353568652 TSecr=50657
68,3.126749,192.168.1.108,192.168.1.181,TCP,66,"2869 > 34156 [FIN, ACK] Seq=126 Ack=1692 Win=66560 Len=0 TSval=50658 TSecr=353568652"
69,3.1308,192.168.1.181,192.168.1.108,TCP,66,"34156 > 2869 [FIN, ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568652 TSecr=50658"
70,3.130854,192.168.1.108,192.168.1.181,TCP,66,2869 > 34156 [ACK] Seq=127 Ack=1693 Win=66560 Len=0 TSval=50658 TSecr=353568652
71,3.143305,192.168.1.181,192.168.1.108,TCP,66,34155 > 2869 [ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568654 TSecr=50656
72,3.144291,192.168.1.181,192.168.1.108,TCP,66,"34155 > 2869 [FIN, ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568654 TSecr=50656"
73,3.14434,192.168.1.108,192.168.1.181,TCP,66,2869 > 34155 [ACK] Seq=127 Ack=1693 Win=66560 Len=0 TSval=50659 TSecr=353568654
74,3.150008,192.168.1.181,192.168.1.108,TCP,74,34157 > 2869 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=353568654 TSecr=0 WS=2
75,3.150144,192.168.1.108,192.168.1.181,TCP,74,"2869 > 34157 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=50660 TSecr=353568654"
76,3.152057,192.168.1.181,192.168.1.108,TCP,66,34157 > 2869 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=353568654 TSecr=50660
77,3.167453,192.168.1.181,192.168.1.108,TCP,74,34158 > 2869 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=353568656 TSecr=0 WS=2
78,3.167567,192.168.1.108,192.168.1.181,TCP,74,"2869 > 34158 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=50662 TSecr=353568656"
79,3.169488,192.168.1.181,192.168.1.108,TCP,66,34158 > 2869 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=353568656 TSecr=50662
80,3.174384,192.168.1.181,192.168.1.108,TCP,1514,[TCP segment of a reassembled PDU]
81,3.18674,192.168.1.181,192.168.1.108,TCP,1514,[TCP segment of a reassembled PDU]
82,3.187663,192.168.1.181,192.168.1.108,HTTP/XML,308,NOTIFY /upnp/eventing/ebwtxqoamo HTTP/1.1 
83,3.187744,192.168.1.108,192.168.1.181,TCP,66,2869 > 34157 [ACK] Seq=1 Ack=1691 Win=66560 Len=0 TSval=50664 TSecr=353568658
84,3.187958,192.168.1.108,192.168.1.181,HTTP,191,HTTP/1.1 200 OK 
85,3.190338,192.168.1.181,192.168.1.108,TCP,66,34157 > 2869 [ACK] Seq=1691 Ack=126 Win=14600 Len=0 TSval=353568658 TSecr=50664
86,3.190402,192.168.1.108,192.168.1.181,TCP,66,"2869 > 34157 [FIN, ACK] Seq=126 Ack=1691 Win=66560 Len=0 TSval=50664 TSecr=353568658"
87,3.203839,192.168.1.181,192.168.1.108,HTTP/XML,309,NOTIFY /upnp/eventing/bijyeehsex HTTP/1.1 
88,3.20392,192.168.1.108,192.168.1.181,TCP,66,2869 > 34158 [ACK] Seq=1 Ack=1692 Win=66560 Len=0 TSval=50665 TSecr=353568657
89,3.2041,192.168.1.108,192.168.1.181,HTTP,191,HTTP/1.1 200 OK 
90,3.20648,192.168.1.181,192.168.1.108,TCP,66,34158 > 2869 [ACK] Seq=1692 Ack=126 Win=14600 Len=0 TSval=353568660 TSecr=50665
91,3.206529,192.168.1.108,192.168.1.181,TCP,66,"2869 > 34158 [FIN, ACK] Seq=126 Ack=1692 Win=66560 Len=0 TSval=50666 TSecr=353568660"
92,3.210638,192.168.1.181,192.168.1.108,TCP,66,"34158 > 2869 [FIN, ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568660 TSecr=50666"
