No.,Time,Source,Destination,Protocol,Length,Info
146,3.385696,192.168.1.108,192.168.1.181,TCP,66,2869 > 34162 [ACK] Seq=127 Ack=1693 Win=66560 Len=0 TSval=50684 TSecr=353568678
147,3.391542,192.168.1.181,192.168.1.108,TCP,74,34164 > 2869 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=353568678 TSecr=0 WS=2
148,3.391677,192.168.1.108,192.168.1.181,TCP,74,"2869 > 34164 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=50684 TSecr=353568678"
149,3.394346,192.168.1.181,192.168.1.108,TCP,66,34164 > 2869 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=353568679 TSecr=50684
150,3.406055,192.168.1.181,192.168.1.108,TCP,1514,[TCP segment of a reassembled PDU]
151,3.407,192.168.1.181,192.168.1.108,HTTP/XML,308,NOTIFY /upnp/eventing/ebwtxqoamo HTTP/1.1 
152,3.40708,192.168.1.108,192.168.1.181,TCP,66,2869 > 34163 [ACK] Seq=1 Ack=1691 Win=66560 Len=0 TSval=50686 TSecr=353568680
153,3.407294,192.168.1.108,192.168.1.181,HTTP,191,HTTP/1.1 200 OK 
154,3.409656,192.168.1.181,192.168.1.108,TCP,66,34163 > 2869 [ACK] Seq=1691 Ack=126 Win=14600 Len=0 TSval=353568680 TSecr=50686
155,3.409719,192.168.1.108,192.168.1.181,TCP,66,"2869 > 34163 [FIN, ACK] Seq=126 Ack=1691 Win=66560 Len=0 TSval=50686 TSecr=353568680"
156,3.413954,fe80::5034:59dc:7b1d:2e8c,ff02::c,SSDP,208,M-SEARCH * HTTP/1.1 
157,3.426476,192.168.1.181,192.168.1.108,TCP,1514,[TCP segment of a reassembled PDU]
158,3.427496,192.168.1.181,192.168.1.108,HTTP/XML,309,NOTIFY /upnp/eventing/bijyeehsex HTTP/1.1 
159,3.427519,192.168.1.108,192.168.1.181,TCP,66,2869 > 34164 [ACK] Seq=1 Ack=1692 Win=66560 Len=0 TSval=50688 TSecr=353568682
160,3.427564,192.168.1.108,192.168.1.181,HTTP,191,HTTP/1.1 200 OK 
161,3.429892,192.168.1.181,192.168.1.108,TCP,66,34164 > 2869 [ACK] Seq=1692 Ack=126 Win=14600 Len=0 TSval=353568682 TSecr=50688
162,3.429912,192.168.1.108,192.168.1.181,TCP,66,"2869 > 34164 [FIN, ACK] Seq=126 Ack=1692 Win=66560 Len=0 TSval=50688 TSecr=353568682"
163,3.442183,192.168.1.181,192.168.1.108,TCP,66,34163 > 2869 [ACK] Seq=1691 Ack=127 Win=14600 Len=0 TSval=353568684 TSecr=50686
164,3.44452,192.168.1.181,192.168.1.108,TCP,66,"34163 > 2869 [FIN, ACK] Seq=1691 Ack=127 Win=14600 Len=0 TSval=353568684 TSecr=50686"
165,3.444574,192.168.1.108,192.168.1.181,TCP,66,2869 > 34163 [ACK] Seq=127 Ack=1692 Win=66560 Len=0 TSval=50689 TSecr=353568684
166,3.4546,192.168.1.181,192.168.1.108,TCP,66,"34164 > 2869 [FIN, ACK] Seq=1692 Ack=127 Win=14600 Len=0 TSval=353568685 TSecr=50688"
167,3.454669,192.168.1.108,192.168.1.181,TCP,66,2869 > 34164 [ACK] Seq=127 Ack=1693 Win=66560 Len=0 TSval=50691 TSecr=353568685
168,3.46589,192.168.1.181,192.168.1.108,TCP,74,34165 > 2869 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=353568686 TSecr=0 WS=2
169,3.466128,192.168.1.108,192.168.1.181,TCP,74,"2869 > 34165 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=50692 TSecr=353568686"
170,3.468247,192.168.1.181,192.168.1.108,TCP,66,34165 > 2869 [ACK] Seq=1 Ack=1 Win=14600 Len=0 TSval=353568686 TSecr=50692
171,3.47264,192.168.1.181,192.168.1.108,TCP,1514,[TCP segment of a reassembled PDU]
172,3.493171,192.168.1.181,192.168.1.108,HTTP/XML,313,NOTIFY /upnp/eventing/eqtgyiqumt HTTP/1.1 
