"No.","Time","Source","Destination","Protocol","Length","Info"
"62","0.060424","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"63","0.088466","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"64","0.088522","192.168.1.108","23.205.120.107","TCP","55","52294 > 80 [ACK] Seq=1 Ack=1 Win=16276 Len=1"
"65","0.097502","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"66","0.098528","192.168.1.108","23.205.120.107","TCP","55","52295 > 80 [ACK] Seq=1 Ack=1 Win=16425 Len=1"
"67","0.100607","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"68","0.101380","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"69","0.102043","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"70","0.102595","23.205.120.107","192.168.1.108","TCP","66","80 > 52294 [ACK] Seq=1 Ack=2 Win=587 Len=0 SLE=1 SRE=2"
"71","0.102756","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"72","0.104135","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"73","0.105063","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"74","0.105724","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"75","0.106422","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"76","0.107164","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"77","0.107858","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"78","0.108586","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"79","0.109295","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"80","0.110026","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"81","0.111988","23.205.120.107","192.168.1.108","TCP","66","80 > 52295 [ACK] Seq=1 Ack=2 Win=586 Len=0 SLE=1 SRE=2"
"82","0.120842","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"83","0.128099","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"84","0.151476","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"85","0.158443","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"86","0.160747","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"87","0.160749","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"88","0.160750","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"89","0.161357","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"90","0.161751","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"91","0.162770","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"92","0.163115","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"93","0.163770","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"94","0.164433","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"95","0.165169","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"96","0.165789","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"97","0.166525","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"98","0.167147","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"99","0.167807","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"100","0.168308","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"101","0.168854","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"102","0.169356","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"103","0.169902","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"104","0.170404","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"105","0.170947","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"106","0.171451","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"107","0.171951","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"108","0.172453","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"109","0.172954","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"110","0.173460","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"111","0.174005","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"112","0.174508","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"113","0.175011","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"114","0.175519","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"115","0.176138","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"116","0.176531","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"117","0.177028","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"118","0.179281","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"119","0.201817","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"120","0.207474","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"121","0.208033","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"122","0.208697","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"123","0.209311","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"124","0.209972","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"125","0.210584","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"126","0.211249","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"127","0.211790","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"128","0.212470","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"129","0.213039","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"130","0.213650","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"131","0.214233","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"132","0.214894","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"133","0.215513","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"134","0.216133","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"135","0.216676","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"136","0.217141","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"137","0.217645","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"138","0.218146","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"139","0.218575","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"140","0.219113","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"141","0.219575","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"142","0.220082","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"143","0.220548","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"144","0.221056","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"145","0.221555","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"146","0.221982","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"147","0.222486","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"148","0.222951","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"149","0.223542","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"150","0.223956","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"151","0.224423","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"152","0.224925","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"153","0.225394","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"154","0.225896","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"155","0.236070","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"156","0.236596","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"157","0.237251","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"158","0.237949","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"159","0.238537","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"160","0.239267","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"161","0.258504","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"162","0.258506","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"163","0.258508","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"164","0.258509","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"165","0.258510","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"166","0.258510","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"167","0.258511","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"168","0.258512","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"169","0.258513","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"170","0.258514","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"171","0.260493","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"172","0.260494","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"173","0.276068","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"174","0.276070","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"175","0.276533","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"176","0.277096","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"177","0.277803","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"178","0.278337","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"179","0.279607","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
"180","0.279609","192.168.1.181","192.168.1.108","UDP","1370","Source port: 43012  Destination port: 5001"
